INCIDENT_NUMBER,DATE_OCCURED,UOR_DESC,PREMISE_TYPE,OFFICER_ATTACKED
80-19-079040,10/25/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-079042,10/24/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,COMMERCIAL / OFFICE BUILDING,0
80-19-079052,10/25/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-079053,10/25/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-079063,1/1/2009,CRIMINAL ABUSE-1ST DEGREE,RESIDENCE / HOME,0
80-19-079080,10/25/2019,ASSAULT - 1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-079084,10/25/2019,ASSAULT - 1ST DEGREE,RESIDENCE / HOME,0
80-19-079109,10/25/2019,ASSAULT - 2ND DEGREE,RESIDENCE / HOME,0
80-19-079116,10/25/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-079127,10/25/2019,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-19-079132,10/25/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-079144,10/25/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-079147,10/25/2019,VIOLATION OF KENTUCKY EPO/DVO,OTHER / UNKNOWN,0
80-19-079151,10/25/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,SCHOOL - ELEMENTARY / SECONDARY,0
80-19-079162,10/25/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-079165,10/25/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-079176,10/25/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079189,10/25/2019,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-19-079191,10/25/2019,ASSAULT - 1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-079193,10/25/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079194,10/25/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-079198,10/25/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-079201,10/25/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),CONVENIENCE STORE,0
80-19-079205,10/25/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),BAR / NIGHT CLUB,0
80-19-079208,10/25/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-079215,10/26/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-079216,10/26/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079220,10/26/2019,STRANGULATION 1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-079223,10/26/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),BAR / NIGHT CLUB,0
80-19-079234,10/26/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079235,10/26/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079236,10/26/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079252,10/26/2019,ASSAULT - 2ND DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-079256,10/24/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-079270,10/26/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,DRUG STORE/DR`S OFFICE/HOSPITAL,0
80-19-079280,10/26/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079286,10/26/2019,CUSTODIAL INTERFERENCE-FELONY,RESIDENCE / HOME,0
80-19-079317,10/26/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079320,10/26/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-079337,10/26/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-079342,10/26/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079344,10/26/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-079345,10/26/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079361,10/26/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),SERVICE / GAS STATION,0
80-19-079367,10/26/2019,ASSAULT 3RD - PEACE OFFICER - NON COMMUNICABLE BODILY FLUID,HIGHWAY / ROAD / ALLEY,1
80-19-079383,10/26/2019,TERRORISTIC THREATENING 3RD DEGREE,HIGHWAY / ROAD / ALLEY,1
80-19-079416,10/26/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-079423,10/26/2019,WANTON ENDANGERMENT-2ND DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-079430,10/12/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079443,10/26/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,DEPARTMENT / DISCOUNT STORE,0
80-19-079446,10/26/2019,TERRORISTIC THREATENING 3RD DEGREE,CONVENIENCE STORE,0
80-19-079458,10/26/2019,ASSAULT - 2ND DEGREE,PARKING LOT / GARAGE,0
80-19-079473,10/26/2019,TERRORISTIC THREATENING 3RD DEGREE,GROCERY / SUPERMARKET,0
80-19-079474,10/26/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-079475,10/26/2019,MENACING,BAR / NIGHT CLUB,0
80-19-079477,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-079487,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079489,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-079490,10/27/2019,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,BAR / NIGHT CLUB,0
80-19-079494,10/27/2019,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-19-079495,10/27/2019,"ASSAULT, 4TH DEGREE DATING VIOLENCE (MINOR INJURY)",RESIDENCE / HOME,0
80-19-079499,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079507,10/27/2019,ASSAULT - 2ND DEGREE,SERVICE / GAS STATION,0
80-19-079508,10/27/2019,STRANGULATION 1ST DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-079518,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-079539,10/26/2019,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-19-079541,10/27/2019,HARASSMENT (NO PHYSICAL CONTACT),OTHER / UNKNOWN,0
80-19-079558,10/27/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079575,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,HIGHWAY / ROAD / ALLEY,0
80-19-079584,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-079585,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-079587,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079588,10/27/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-079598,10/27/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-079603,10/27/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-079617,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079619,10/27/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079624,10/27/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079626,10/27/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-079632,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079634,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079636,10/27/2019,WANTON ENDANGERMENT-1ST DEGREE,OTHER / UNKNOWN,1
80-19-079644,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079651,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079652,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079665,10/27/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079680,10/27/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-079688,10/27/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-079692,10/27/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079713,10/28/2019,TERRORISTIC THREATENING 3RD DEGREE,OTHER / UNKNOWN,0
80-19-079717,10/28/2019,CUSTODIAL INTERFERENCE-FELONY,RESIDENCE / HOME,0
80-19-079726,10/28/2019,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,RESIDENCE / HOME,0
80-19-079728,10/28/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079760,10/27/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079768,10/28/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),INDUSTRIAL SITE,0
80-19-079790,10/28/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-079793,10/23/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,PARKING LOT / GARAGE,0
80-19-079803,10/25/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-079851,10/16/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-079865,10/28/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-079876,10/28/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079888,10/28/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-079891,10/26/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079909,10/28/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079929,10/28/2019,VIOLATION OF KENTUCKY EPO/DVO,HIGHWAY / ROAD / ALLEY,0
80-19-079946,10/28/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),HIGHWAY / ROAD / ALLEY,0
80-19-079952,10/28/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),BANK / SAVINGS & LOAN,0
80-19-079954,10/28/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESTAURANT,0
80-19-079955,10/28/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,CONVENIENCE STORE,0
80-19-079978,10/28/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-079985,10/28/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),HIGHWAY / ROAD / ALLEY,0
80-19-079999,10/28/2019,TERRORISTIC THREATENING 3RD DEGREE,PARKING LOT / GARAGE,0
80-19-080003,10/28/2019,ASSAULT - 1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-080004,10/28/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,HIGHWAY / ROAD / ALLEY,0
80-19-080007,10/28/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-080015,10/28/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-080017,10/28/2019,"ASSAULT, 4TH DEGREE DATING VIOLENCE (MINOR INJURY)",RESIDENCE / HOME,0
80-19-080018,10/28/2019,ASSAULT - 2ND DEGREE,RESTAURANT,0
80-19-080024,10/28/2019,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,RESIDENCE / HOME,0
80-19-080029,10/28/2019,ASSAULT - 1ST DEGREE,RESIDENCE / HOME,0
80-19-080033,10/28/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-080034,10/28/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-080035,10/28/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-080040,10/28/2019,ASSAULT - 4TH DEGREE (CHILD ABUSE),CHILD DAYCARE FACILITY,0
80-19-080041,10/26/2019,ASSAULT - 4TH DEGREE (CHILD ABUSE),RESIDENCE / HOME,0
80-19-080043,10/28/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-080044,10/29/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-080046,10/29/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080051,10/29/2019,ASSAULT - 2ND DEGREE,RESIDENCE / HOME,0
80-19-080077,9/11/2019,ASSAULT - 4TH DEGREE (CHILD ABUSE),RESIDENCE / HOME,0
80-19-080079,10/29/2019,TERRORISTIC THREATENING 3RD DEGREE,COMMERCIAL / OFFICE BUILDING,0
80-19-080104,10/29/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080115,10/28/2019,TERRORISTIC THREATENING 3RD DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080116,8/29/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080127,10/29/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESTAURANT,0
80-19-080129,10/26/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-080139,10/29/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),HIGHWAY / ROAD / ALLEY,0
80-19-080146,10/29/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),HOTEL / MOTEL / ETC.,0
80-19-080158,10/28/2019,KNOWINGLY EXPLOIT ADULT BY PERSON O/$300,BANK / SAVINGS & LOAN,0
80-19-080174,10/29/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-080186,10/26/2019,TERRORISTIC THREATENING 3RD DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080235,10/29/2019,TERRORISTIC THREATENING 3RD DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080245,10/29/2019,ASSAULT - 4TH DEGREE (CHILD ABUSE),CHILD DAYCARE FACILITY,0
80-19-080249,10/29/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-080255,10/29/2019,ASSAULT - 1ST DEGREE,RESIDENCE / HOME,0
80-19-080264,10/29/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-080278,10/29/2019,TERRORISTIC THREATENING 3RD DEGREE,CYBERSPACE,0
80-19-080279,10/29/2019,WANTON ENDANGERMENT-2ND DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080281,10/29/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-080284,10/29/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-080287,10/29/2019,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,OTHER RESIDENCE (APARTMENT/CONDO),1
80-19-080293,10/30/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080296,10/30/2019,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-19-080299,10/30/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-080302,10/30/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080305,10/29/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),CONVENIENCE STORE,0
80-19-080307,10/30/2019,STRANGULATION 1ST DEGREE,OTHER / UNKNOWN,0
80-19-080308,10/30/2019,MENACING,RESIDENCE / HOME,0
80-19-080311,10/30/2019,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,RESIDENCE / HOME,0
80-19-080330,10/30/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080346,10/30/2019,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,RESIDENCE / HOME,0
80-19-080351,10/25/2019,WANTON ENDANGERMENT-1ST DEGREE,PARKING LOT / GARAGE,0
80-19-080383,10/30/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-080384,10/30/2019,TERRORISTIC THREATENING 3RD DEGREE,COMMERCIAL / OFFICE BUILDING,0
80-19-080388,10/30/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-080398,10/30/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080403,10/29/2019,CUSTODIAL INTERFERENCE-FELONY,RESIDENCE / HOME,0
80-19-080404,10/30/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-080415,10/30/2019,TERRORISTIC THREATENING 3RD DEGREE,RESTAURANT,0
80-19-080442,10/30/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-080465,10/30/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-080479,9/28/2019,STRANGULATION 1ST DEGREE,"SPECIALTY STORE (TV, FUR, ETC)",0
80-19-080480,10/30/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080488,10/14/2019,ASSAULT - 2ND DEGREE,RESIDENCE / HOME,0
80-19-080509,10/30/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-080513,10/30/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-080562,10/30/2019,WANTON ENDANGERMENT-2ND DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-080563,10/30/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-080576,10/30/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),HIGHWAY / ROAD / ALLEY,0
80-19-080577,10/30/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-080579,10/30/2019,"ASSAULT, 4TH DEGREE DATING VIOLENCE (MINOR INJURY)",OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080593,10/30/2019,ASSAULT - 1ST DEGREE,CONVENIENCE STORE,0
80-19-080595,10/30/2019,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-19-080598,10/30/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-080610,10/30/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),DRUG STORE/DR`S OFFICE/HOSPITAL,0
80-19-080613,10/30/2019,ASSAULT - 4TH DEGREE (CHILD ABUSE),CHILD DAYCARE FACILITY,0
80-19-080618,10/30/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-080619,10/30/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-080623,10/30/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-080624,10/30/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-080637,10/31/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-080639,10/31/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-080641,10/31/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,DEPARTMENT / DISCOUNT STORE,0
80-19-080649,10/31/2019,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-19-080667,10/31/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-080679,10/31/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-080692,10/31/2019,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,RESIDENCE / HOME,0
80-19-080693,10/31/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),HOMELESS SHELTER / MISSION,0
80-19-080704,10/30/2019,HARASSMENT (NO PHYSICAL CONTACT),RESIDENCE / HOME,0
80-19-080713,10/31/2019,ASSAULT - 3RD DEGREE (SCHOOL EMPLOYEE OR SCHOOL VOLUNTEER),SCHOOL - ELEMENTARY / SECONDARY,0
80-19-080718,10/23/2019,ENDANGERING THE WELFARE OF A MINOR,RESIDENCE / HOME,0
80-19-080722,10/31/2019,TERRORISTIC THREATENING 3RD DEGREE,OTHER / UNKNOWN,0
80-19-080724,10/31/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-080727,10/31/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESTAURANT,0
80-19-080771,10/31/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-080774,10/21/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-080793,10/31/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,CHURCH / SYNAGOGUE / TEMPLE,0
80-19-080804,10/31/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-080811,10/31/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-080815,10/31/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-080844,10/31/2019,HARASSMENT (NO PHYSICAL CONTACT),RESIDENCE / HOME,0
80-19-080846,10/31/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-080854,10/31/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,HOTEL / MOTEL / ETC.,0
80-19-080856,10/27/2019,TERRORISTIC THREATENING 3RD DEGREE,BAR / NIGHT CLUB,0
80-19-080858,10/31/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-080862,10/31/2019,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-19-080863,10/30/2019,VIOLATION OF KENTUCKY EPO/DVO,RESTAURANT,0
80-19-080868,10/31/2019,ASSAULT - 1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-080874,10/31/2019,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-19-080882,11/1/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-080883,11/1/2019,WANTON ENDANGERMENT-1ST DEGREE,PARKING LOT / GARAGE,0
80-19-080890,11/1/2019,STRANGULATION 1ST DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080892,11/1/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,1
80-19-080895,11/1/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-080896,11/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,1
80-19-080900,11/1/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),HIGHWAY / ROAD / ALLEY,0
80-19-080901,11/1/2019,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-19-080920,11/1/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-080935,9/13/2019,ASSAULT - 4TH DEGREE (CHILD ABUSE),RESIDENCE / HOME,0
80-19-080952,11/1/2019,MENACING,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-080957,11/1/2019,HARASSMENT (NO PHYSICAL CONTACT),PARKING LOT / GARAGE,0
80-19-080960,11/1/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-080976,9/6/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-080985,11/1/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
