ID,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,UOR_DESC,LEOKA_APPLIES,OFFICER_KILLED,TYPE_OF_ASSIGNMENT,TYPE_OF_ACTIVITY,OFFENSE_CITY,OFFENSE_ZIP
2280,80-20-026284,5/3/2020 1:28,5/3/2020 1:28,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,624,HIGHWAY / ROAD / ALLEY,CAWOOD DR / NEWPORT RD                                      ,WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40218
2281,80-20-028116,5/12/2020 0:00,5/11/2020 23:40,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY,S JACKSON ST / E JEFFERSON ST                               ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40202
2282,80-20-013731,2/28/2020 11:15,2/28/2020 11:11,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME,S 30TH ST / W MARKET ST                                     ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40212
2283,80-20-016551,3/9/2020 22:01,3/9/2020 22:01,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,225,HOMELESS SHELTER / MISSION,1500 BLOCK S 15TH ST                                        ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40210
2284,80-20-016515,3/11/2020 2:43,3/11/2020 2:38,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME,2700 BLOCK GARLAND AVE                                      ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40211
2285,80-20-016515,3/11/2020 2:43,3/11/2020 2:38,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME,2700 BLOCK GARLAND AVE                                      ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40211
2286,80-20-028007,5/12/2020 8:44,5/12/2020 8:05,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,135,DRUG STORE/DR`S OFFICE/HOSPITAL,S FLOYD ST / E GRAY ST                                      ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,"OTHER ASSISTED (FOOT, OFF DUTY, ETC)",RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40202
2287,80-20-028295,5/13/2020 14:24,5/13/2020 14:24,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME,8000 BLOCK COLUMBINE DR                                     ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40258
2288,80-20-028295,5/13/2020 14:24,5/13/2020 14:24,ASSAULT,13B,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME,8000 BLOCK COLUMBINE DR                                     ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40258
2289,80-20-028431,5/11/2020 23:32,5/11/2020 23:30,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,423,OTHER / UNKNOWN,3600 BLOCK GEORGETOWN PL                                    ,MENACING,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40215
2290,80-20-028927,5/16/2020 20:05,5/16/2020 20:01,ASSAULT,13A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,W CHESTNUT ST / ROY WILKINS AVE                             ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40203
2291,80-20-028927,5/16/2020 20:05,5/16/2020 20:01,ASSAULT,13A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,W CHESTNUT ST / ROY WILKINS AVE                             ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40203
2292,80-20-033300,6/6/2020 5:14,6/6/2020 5:14,ASSAULT,13B,PART II,COMPLETED,6TH DIVISION,624,HIGHWAY / ROAD / ALLEY,S HURSTBOURNE PKY / SIX MILE LN                             ,ASSAULT - 4TH DEGREE (MINOR INJURY),YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40220
2293,80-20-027303,5/7/2020 23:34,5/7/2020 20:52,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,624,HIGHWAY / ROAD / ALLEY,BEECHBROOK RD / NORFOLK DR                                  ,MENACING,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40218
2294,80-20-034595,6/11/2020 2:39,6/11/2020 1:44,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY,S 4TH ST / W OAK ST                                         ,HARASSMENT - PHYSICAL CONTACT - NO INJURY,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40203
2295,80-20-037842,6/27/2020 1:47,6/27/2020 1:43,ASSAULT,13A,PART I,COMPLETED,4TH DIVISION,435,OTHER / UNKNOWN,1500 BLOCK GLENROCK RD                                      ,ASSAULT 3RD - PEACE OFFICER - NON COMMUNICABLE BODILY FLUID,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40216
2296,80-20-037842,6/27/2020 1:47,6/27/2020 1:43,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,435,RESIDENCE / HOME,1500 BLOCK GLENROCK RD                                      ,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40216
2297,80-20-040881,7/10/2020 17:58,7/10/2020 16:29,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME,1200 BLOCK S SHELBY ST                                      ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40203
2298,80-20-040717,7/9/2020 21:27,7/9/2020 20:00,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,123,PARKING LOT / GARAGE,400 BLOCK S 6TH ST                                          ,OBSTRUCTING GOVERNMENTAL OPERATIONS,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED,"CIVIL DISORDER (RIOT, MASS DISOBEDIENCE, ETC.)",LOUISVILLE,40202
2299,80-20-041125,7/12/2020 0:35,7/12/2020 0:15,ASSAULT,13A,PART I,COMPLETED,1ST DIVISION,134,HIGHWAY / ROAD / ALLEY,N JOHNSON ST / E MAIN ST                                    ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40206
2300,80-20-041125,7/12/2020 0:35,7/12/2020 0:15,ASSAULT,13A,PART I,COMPLETED,1ST DIVISION,134,HIGHWAY / ROAD / ALLEY,N JOHNSON ST / E MAIN ST                                    ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40206
2301,80-20-022877,4/11/2020 21:40,4/11/2020 21:28,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME,6100 BLOCK TRENA TRL                                        ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40258
2302,80-20-022877,4/11/2020 21:40,4/11/2020 21:28,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME,6100 BLOCK TRENA TRL                                        ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40258
2303,80-20-042456,7/17/2020 16:47,7/17/2020 16:47,ASSAULT,13A,PART I,COMPLETED,5TH DIVISION,513,HIGHWAY / ROAD / ALLEY,BARDSTOWN RD / DOROTHY AVE                                  ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40205
2304,80-20-043296,7/21/2020 13:55,7/21/2020 13:51,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY,2400 BLOCK CEDAR ST                                         ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40212
2305,80-20-029347,5/19/2020 1:44,5/19/2020 1:44,ASSAULT,13A,PART I,COMPLETED,7TH DIVISION,711,HIGHWAY / ROAD / ALLEY,BARDSTOWN RD / CEDARLOOK DR                                 ,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40291
2306,80-20-029347,5/19/2020 1:44,5/19/2020 1:44,ASSAULT,13A,PART I,COMPLETED,7TH DIVISION,711,HIGHWAY / ROAD / ALLEY,BARDSTOWN RD / CEDARLOOK DR                                 ,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40291
2307,80-20-044752,7/25/2020 11:10,7/25/2020 11:10,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,134,OTHER / UNKNOWN,N PRESTON ST / E WITHERSPOON ST                             ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40202
2308,80-20-045098,7/29/2020 22:39,7/29/2020 22:17,ASSAULT,13B,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME,1400 BLOCK S 28TH ST                                        ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40211
2309,80-20-045774,8/2/2020 3:00,8/2/2020 2:46,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY,N 19TH ST / ROWAN ST                                        ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40203
2310,80-20-048489,8/13/2020 22:25,8/13/2020 22:01,ASSAULT,13C,PART II,COMPLETED,5TH DIVISION,513,BAR / NIGHT CLUB,2200 BLOCK DUNDEE RD                                        ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40205
2311,80-20-048273,8/12/2020 22:17,8/12/2020 22:17,ASSAULT,13A,PART I,COMPLETED,3RD DIVISION,322,HIGHWAY / ROAD / ALLEY,MITSCHER AVE / W SOUTHLAND BLVD                             ,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40214
2312,80-20-044227,7/25/2020 10:15,7/25/2020 10:08,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,S 5TH ST / W JEFFERSON ST                                   ,OBSTRUCTING GOVERNMENTAL OPERATIONS,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),"CIVIL DISORDER (RIOT, MASS DISOBEDIENCE, ETC.)",LOUISVILLE,40202
2313,80-20-050906,8/25/2020 12:33,8/25/2020 12:33,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY,S 2ND ST / CENTRAL AVE                                      ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),"CIVIL DISORDER (RIOT, MASS DISOBEDIENCE, ETC.)",LOUISVILLE,40208
2314,80-20-052257,8/29/2020 0:54,8/29/2020 0:50,ASSAULT,13A,PART I,COMPLETED,8TH DIVISION,811,HIGHWAY / ROAD / ALLEY,10600 BLOCK U S HIGHWAY 42                                  ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,PROSPECT,40059
2315,80-20-054032,9/9/2020 21:37,9/9/2020 21:37,ASSAULT,13B,PART II,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY,BARDSTOWN RD / MIDLAND AVE                                  ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40204
2316,80-20-054466,9/12/2020 1:40,9/11/2020 23:32,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,323,SERVICE / GAS STATION,8600 BLOCK NATIONAL TPKE                                    ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40118
2317,80-20-056894,9/23/2020 16:15,9/23/2020 16:10,ASSAULT,13B,PART II,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY,1300 BLOCK BARDSTOWN RD                                     ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),"CIVIL DISORDER (RIOT, MASS DISOBEDIENCE, ETC.)",LOUISVILLE,40204
2318,80-20-059551,10/7/2020 7:09,10/7/2020 6:41,ASSAULT,13A,PART I,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY,S CLAY ST / E MUHAMMAD ALI BLVD                             ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40202
2319,80-20-059551,10/7/2020 7:09,10/7/2020 6:41,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY,S CLAY ST / E MUHAMMAD ALI BLVD                             ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40202
2320,80-20-059811,10/8/2020 11:12,10/8/2020 11:02,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY,1500 BLOCK LARCHMONT AVE                                    ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40215
2321,80-20-061165,10/12/2020 22:50,10/12/2020 22:45,ASSAULT,13C,PART II,COMPLETED,8TH DIVISION,811,HOTEL / MOTEL / ETC.,11400 BLOCK WESTPORT RD                                     ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40241
2322,80-20-062176,10/18/2020 23:18,10/18/2020 23:10,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,625,BAR / NIGHT CLUB,2900 BLOCK HIKES LN                                         ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40218
2323,80-20-063146,10/23/2020 2:12,10/22/2020 22:30,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,JAIL / PENITENTARY,400 BLOCK S 6TH ST                                          ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40202
2324,80-14-087609,11/12/2014 11:47,11/7/2014 14:50,ASSAULT,13A,PART I,COMPLETED,7TH DIVISION,723,HIGHWAY / ROAD / ALLEY,5800 BLOCK FEGENBUSH LN                                     ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40225
2325,80-21-016089,3/23/2021 12:20,3/23/2021 12:15,ASSAULT,13B,PART II,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME,3400 BLOCK BOHNE AVE                                        ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40211
2326,80-21-017791,3/30/2021 15:44,3/30/2021 15:39,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,600 BLOCK W JEFFERSON ST                                    ,OBSTRUCTING GOVERNMENTAL OPERATIONS,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40202
2327,80-21-018868,4/3/2021 2:15,4/3/2021 2:15,ASSAULT,13C,PART II,COMPLETED,5TH DIVISION,512,SERVICE / GAS STATION,1100 BLOCK BARDSTOWN RD                                     ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40204
2328,80-21-020082,4/10/2021 19:45,4/10/2021 17:26,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,315,SERVICE / GAS STATION,9900 BLOCK DIXIE HWY                                        ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40272
2329,80-21-021919,4/19/2021 17:34,4/19/2021 17:34,ASSAULT,13B,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME,2600 BLOCK GARLAND AVE                                      ,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40211
2330,80-21-021919,4/19/2021 17:34,4/19/2021 17:34,ASSAULT,13A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME,2600 BLOCK GARLAND AVE                                      ,ASSAULT 3RD - PEACE OFFICER -  COMMUNICABLE BODILY FLUID,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40211
2331,80-21-023267,4/23/2021 21:28,4/23/2021 21:23,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,135,DRUG STORE/DR`S OFFICE/HOSPITAL,500 BLOCK S JACKSON ST                                      ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,"OTHER ASSISTED (FOOT, OFF DUTY, ETC)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40202
2332,80-21-022602,4/23/2021 7:04,4/23/2021 6:04,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,316,HIGHWAY / ROAD / ALLEY,10800 BLOCK STONESTREET RD                                  ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40272
2333,80-21-024921,5/3/2021 16:28,5/3/2021 15:28,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,234,HIGHWAY / ROAD / ALLEY,ALGONQUIN PKY / CANE RUN RD                                 ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40211
2334,80-21-025031,5/2/2021 3:26,5/2/2021 3:26,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,323,HIGHWAY / ROAD / ALLEY,200 BLOCK SAM DR                                            ,MENACING,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40214
2335,80-21-023992,4/29/2021 18:57,4/29/2021 16:00,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY,S 17TH ST / W KENTUCKY ST                                   ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40210
2336,80-21-025056,5/4/2021 9:24,5/4/2021 9:16,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY,S 1ST ST / E MUHAMMAD ALI BLVD                              ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40202
2337,80-21-027338,5/15/2021 6:03,5/15/2021 1:44,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY,200 BLOCK S 41ST ST                                         ,MENACING,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40212
2338,80-21-019795,4/9/2021 12:05,4/3/2021 12:05,ASSAULT,13A,PART I,COMPLETED,3RD DIVISION,316,HIGHWAY / ROAD / ALLEY,11700 BLOCK DIXIE HWY                                       ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40272
2339,80-21-032436,6/7/2021 1:33,6/7/2021 1:30,ASSAULT,13A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY,2800 BLOCK VIRGINIA AVE                                     ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40211
2340,80-21-030088,5/27/2021 2:41,5/27/2021 2:41,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,500 BLOCK S 6TH ST                                          ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40203
2341,80-21-030088,5/27/2021 2:41,5/27/2021 2:41,ASSAULT,13A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,500 BLOCK S 6TH ST                                          ,ASSAULT 3RD - PEACE OFFICER - NON COMMUNICABLE BODILY FLUID,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40203
2342,80-21-034065,6/11/2021 12:34,6/11/2021 12:33,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,315,HIGHWAY / ROAD / ALLEY,I265N AT DIXIE HWY                                          ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40272
2343,80-21-036275,6/23/2021 13:47,5/26/2021 19:37,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY,S 15TH ST / W MUHAMMAD ALI BLVD                             ,OBSTRUCTING GOVERNMENTAL OPERATIONS,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40203
2344,80-21-039282,7/5/2021 1:31,7/5/2021 0:31,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY,2800 BLOCK GRIFFITHS AVE                                    ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40212
2345,80-21-039953,7/10/2021 8:37,7/10/2021 7:01,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,134,HIGHWAY / ROAD / ALLEY,600 BLOCK E MARKET ST                                       ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40202
2346,80-21-034337,6/15/2021 8:59,6/15/2021 7:59,ASSAULT,13A,PART I,COMPLETED,3RD DIVISION,315,HIGHWAY / ROAD / ALLEY,9300 BLOCK CANE RUN RD                                      ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40258
2347,80-21-043428,7/26/2021 1:43,7/26/2021 1:11,ASSAULT,13A,PART I,COMPLETED,4TH DIVISION,411,JAIL / PENITENTARY,100 BLOCK E OAK ST                                          ,ASSAULT 3RD - PEACE OFFICER - NON COMMUNICABLE BODILY FLUID,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40203
2348,80-11-001120,1/4/2011 13:18,1/4/2011 13:10,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,412,PARKING LOT / GARAGE,800 BLOCK EASTERN PKY                                       ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40217
